Sector ,Project,Size,Current Rate,New Rate,Alam Update Date,BHK,
37D,BPTP Terra,1410,1.55 Cr,,05/03/2025,2 BHk ,no option
37D,BPTP Terra,1832,2.10 Cr,,05/03/2025,3 BHk + SR,
99,Assotech Blith,1365,150/  ready ,,05/03/2025,2BHK,
99,Assotech Blith,1685,1.90 Cr,,05/03/2025,3BHK,
99,Assotech Blith,2400,2.35 Cr,,05/03/2025,3BHK+Sr,
99A,Pareena Coban,1550,1.65 Cr,,05/03/2025,2 BHk,
99A,Pareena Coban,1997,195,,05/03/2025,3.BHk + Sr,
102,BPTP Amstoria,250 Sqyd SF,2.20 Cr,,05/03/2025,3BHK,
102,BPTP Amstoria,303 Sqyd SF,3 Cr,,05/03/2025,3BHK,
102,BPTP Amstoria,500 Sqyd SF,4.35 Cr,,05/03/2025,4BHK+Sr,
102,Adani M2K,1689,2.21 Cr H,2.30 Cr-H,05/03/2025,3 BHK,
102,Adani M2K,1889,2.60 Cr,,05/03/2025,3 BHK+ SR,
102,Adani M2K,2579,3.22Cr ,,05/03/2025,3 BHK + Sr+St,
102,Adani M2K,3198,3.90 Cr,,05/03/2025,4 BHK +SR,
102,Adani M2K,4548,5.60 Cr,,05/03/2025,4 BHK +SR,
102,Emaar Imperial Garden,2025,2.42 Cr lower floor,,05/03/2025,3 BHK + Sr,
102,Emaar Gurgaon Greens,1650,1.85 Cr,,05/03/2025,3 BHK + SR,
102,Emaar Gurgaon Greens,3200,3.50 Cr,,05/03/2025,4BHK +SR,
102,Shapoorji Joyville ,915,1.40 Cr,,05/03/2025,2 BHK,
102,Shapoorji Joyville ,1215,1.70 Cr,178,05/03/2025,2 Bhk,
102,Shapoorji Joyville ,1368,1.95 Cr  lower,,05/03/2025,2 BHK,
102,Shapoorji Joyville ,1692,2.38 Cr,,05/03/2025,3 BHk,
102,Shapoorji Joyville ,1852,2.52 Cr,248 L,05/03/2025,3 BHK,
102,Shapoorji Joyville ,2162,2.90 Cr - 14th,,05/03/2025,4 BHK,
102,Heritage Max,1942,2.45 Cr,,05/03/2025,3 BHk ,
102,Heritage Max,2149,3.0 Cr,,05/03/2025,3 BHK + SR,
102,Heritage Max,2554,3.75 Cr,3.85,05/03/2025,4BHk + Sr,
102,Heritage Max,2860,4.25 Cr,,05/03/2025,4 BHK + Sr,
103,Ansal Highland Park,1361,1.10 Cr,,05/03/2025,2BHK,
103,Ansal Highland Park,1762,1.40 Cr,,05/03/2025,3BHK,
103,Ansal Highland Park,1940,1.55 Cr,,05/03/2025,3BHK+SR,
103,Ansal Highland Park,2670,2.25 Cr  1st floor ,,05/03/2025,4BHK+SR,
103,Indiabulls Centrum Park,1250,1.35 Cr,,05/03/2025,2 BHK ,
103,Indiabulls Centrum Park,1481,1.50 Cr,,05/03/2025,2 BHK + ST,
103,Indiabulls Centrum Park,1900,2 Cr,,05/03/2025,3 BHK,
103,Indiabulls Centrum Park,2000,2.08,,05/03/2025,3 BHK +ST,
103,Indiabulls Centrum Park,2875,2.85 Cr,,05/03/2025,4 BHK+SR,
103,Satya The Hermitage,1450,1.18 Cr,,05/03/2025,2BHK + SR,
103,Satya The Hermitage,1991,1.54 Cr,,05/03/2025,3 BHk + Sr,
103,Satya The Hermitage,Build Up 2220,1.80 Cr,,05/03/2025,,no option
104,Ats Triumph,2290,2.62 Cr,,05/03/2025,3 BHk+ Sr,
104,Ats Triumph,3150,3.68,,05/03/2025,4 BHK + Sr,
104,Hero Homes,1099,1.45 GF,,05/03/2025,2 BHK,1.45-1.50
104,Hero Homes,1359,1.85,,05/03/2025,3 BHK,1.85-1.90
104,Hero Homes,1689,2.15 Cr  H,2.28 Cr ,05/03/2025,3 BHK,2.25-2.35
104,Puri Emerald Bay,1550,1.95, ,05/03/2025,2 BHK,
104,Puri Emerald Bay,1700,2.35 Cr,2.40 Cr,05/03/2025,2+ ST,
104,Puri Emerald Bay,2450,3.42 Cr,3.30 Cr Top,05/03/2025,3+ Sr ,
106,MRG The Crown,1359,13.5K Per Sqft,,05/03/2025,3BHK,
106,MRG The Crown,1593,13.5K Per Sqft,,05/03/2025,3BHK,
106,Paras Dews ,1385,1.45 Cr,1.5,05/03/2025,2 BHK,
106,Paras Dews ,1665,1.60 Cr,,05/03/2025,3 BHK,
106,Paras Dews ,1760,1.70cr,,05/03/2025,3 + Sr,
106,Paras Dews ,1900,1.75 Cr,,05/03/2025,3+Sr+st,
106,Paras Dews ,2355,2.10 Cr,,05/03/2025,4 + SR,
106,Godrej Meridian,1366,1.98 Cr,2 Cr,05/03/2025,2 BHK,
106,Godrej Meridian,1625,2.55 Cr,,05/03/2025,3 BHK,
106,Godrej Meridian,1855,2.80 Cr,,05/03/2025,3 BHK,
106,Godrej Meridian,2002,3.05 Cr - 19th ,,05/03/2025,3 + Sr,
106,Godrej Meridian,2720,4.05 Cr - H,4.10 Cr - Midd,05/03/2025,4 + Sr,
106,Elan The Presidential ,2450,18.5K,,02/02/2025,3BHK SR,
106,Elan The Presidential ,2700,19K,,02/02/2025,3BHK SR,
106,Elan The Presidential ,3075,17.8K,,02/02/2025,4BHK +SR,
106,Elan The Presidential ,3395,18.2K,,02/02/2025,4BHK +SR,
106,Elan The Presidential ,4095,17.5K,,02/02/2025,5BHK + SR,
106,Elan The Presidential ,4495,18K,,02/02/2025,5BHK + SR,
107,M3M Woodshire,1366,1.22 Cr,,05/03/2025,2 BHk ,top floor c5 - 251 (internal)
107,M3M Woodshire,1534,1.40 Cr,,05/03/2025,2BHK + ST,
107,M3M Woodshire,1943,1.78 Cr,,05/03/2025,3BHK,
107,M3M Woodshire,2361,2.18 Cr,,05/03/2025,3 + SR,
107,M3M Woodshire,2746,2.65 Cr,,05/03/2025,4 + Sr,
108,Sobha City,1381,2.70 Cr,,05/03/2025,2 BHk,
108,Sobha City,1711,3.20 cr outer facing ,,05/03/2025,3 BHk,
108,Sobha City,2003,3.95 Cr,390,05/03/2025,3 BHK,
108,Sobha City,2072,4.15 Cr,,05/03/2025,3 + Sr,
108,Sobha City,2343,4.55 Cr Under,,05/03/2025,3 + Utility,
108,Sobha City,2448,4.60 Cr,,05/03/2025,4BHK,
108,Sobha City,2913,6.26 Cr,,05/03/2025,4BHK+SR,
108,Experion Heartsong,1283,1.38 cr,,05/03/2025,2 + Sr,
108,Experion Heartsong,1758,1.80 Cr,1.85 Cr ,05/03/2025,3 + Sr,
108,Experion Heartsong,2003,2.25 Cr,2.28 Cr,05/03/2025,3 + Sr,
108,Experion Heartsong,2338,No Add,,,3 + Sr,
108,Experion Heartsong,2631,No Add,,,4BHK+SR,
108,Experion Heartsong,2779,No Add,,,4BHK+SR,
109,Ats Kocoon,1745,2.33 Cr,2.28 Cr - H,05/03/2025,3 BHK,
109,Ats Kocoon,2095,2.75 Cr ,2.80 Cr,05/03/2025,3 + Sr,
109,Ats Kocoon,3045,4.15  H,,05/03/2025,4+ Sr,
109,Ats Tourmaline ,1750,2.05 row,,05/03/2025,3 BHK,
109,Ats Tourmaline ,2150,2.42 Cr,2.45 Cr,05/03/2025,3+ Sr,
109,Ats Tourmaline ,2585,3.05 Cr,3.10 Cr,05/03/2025,3+ Sr + Family Lounch,
109,Ats Tourmaline ,3150,4 Cr,,05/03/2025,4+ Sr,
109,SBTL Caladium,1880,1.90 Cr,,05/03/2025,3 BHK,
109,SBTL Caladium,2450,2.50 Cr,,05/03/2025,3 + Sr,
109,SBTL Caladium,3055,2.90 Cr,,05/03/2025,4 + Sr,
109,Brisk Lumini,1871,1.78,,05/03/2025,3BHK,
109,Brisk Lumini,2177,1.9 Cr,1.95 Cr,05/03/2025,3BHK + SR,
109,Brisk Lumini,2836,2.38 Cr,2.50 Cr ,05/03/2025,4BHK + SR,
109,Sobha Villa ,246 Sqyd,,,,4BHK + Sr,
109,Sobha Villa ,270 Sqyd,9.25 Cr,,02/02/2025,4BHK + Sr,
109,Sobha Villa ,400 Sqyd,13.50 Cr,,02/02/2025,5BHK + SR,
109,Sobha Villa ,500 Sqyd,18.30 Cr,,02/02/2025,5BHK + SR,
109,Sobha Villa ,600 Lower,7.50 Cr,,02/02/2025,4BHK+ SR,
109,Sobha Villa ,600 Upper,8.50 Cr,,02/02/2025,4BHK+ SR,
110,Indiabulls Enigma,3400,4.75 Cr,,02/02/2025,4 + Sr,
110,Indiabulls Enigma,3880,5.50 Cr,5.70 Cr,02/02/2025,5 + Sr,
110,Indiabulls Enigma,7430,8 Cr,,02/02/2025,Penthouse,
111,Puri Diplomatic Greens,1700,3.10 Cr,,02/02/2025,3 BHK,
111,Puri Diplomatic Greens,2200,3.78 Cr,3.80 Cr,02/02/2025,3 + Sr,
111,Puri Diplomatic Greens,2950,4.72 cr,,02/02/2025,4 + Sr,
111,M3M Crown,1665,16.5k,,01/01/2025,3BHK,
111,M3M Crown,1895,17k,,01/01/2025,3BHK + ST,
111,M3M Crown,2248,16.3k,,01/01/2025,3BHK + SR,
111,M3M Crown,2670,16.3k,,01/01/2025,4BHK+SR,
111,M3M Crown,2080,15.5K,16k,11/02/2025,,
111,M3M Crown,,,,,,
111,Tashee Capital Gateway,1450,11.7K,,02/02/2025,2BHK,NO Option
111,Tashee Capital Gateway,2049,11.7K,,02/02/2025,3BHK,
112,Experion Windchants,2441,4 Cr,,02/02/2025,2 + Sr+st,
112,Experion Windchants,2802,4.70 Cr,,02/02/2025,3 + Sr,
112,Experion Windchants,3800,6.30 Cr,,02/02/2025,3 + Sr,
112,Experion Windchants,4848,8 Cr,,02/02/2025,4 + Sr,
113,Tata Lavida,1276,1.90 Cr,,02/02/2025,2 Bhk - Small,
113,Tata Lavida,1330,1.95 Cr,,02/02/2025,2 Bhk - Large,
113,Tata Lavida,1573,2.48 Cr,,02/02/2025,2 + St,
113,Tata Lavida,1579,2.50 Cr,,02/02/2025,3 Bhk,
113,Tata Lavida,2217,3.15 Cr,,02/02/2025,3 + Sr ,
113,Tata Lavida,2691,4.10 Cr,,02/02/2025,3 + Sr + family lounch,
113,Tata Gateway,1580,2.55 Cr,,02/02/2025,2 + St,
113,Tata Gateway,2215,3.25,,02/02/2025,3 Bhk,
113,Tata Gateway,2560,3.50 Cr,,02/02/2025,3 + Sr,
113,Tata Gateway,2860,4 Cr,,02/02/2025,3 + Sr,
113,M3M Capital,1310,1.95 Cr,,02/02/2025,2BHK + ST,
113,M3M Capital,1665,15.3K Outer F,,02/02/2025,3BHK+ST,
113,M3M Capital,2060,3.10 Cr,,02/02/2025,4BHK+ST,
113,M3M Capital,2298,3.52 Cr,,02/02/2025,4BHK+SR+ST,
113,Smartworld One DXP,1370,16.2K,,02/02/2025,2BHK+ST,
113,Smartworld One DXP,1805,16.2K,,02/02/2025,3BHK+ST,
113,Smartworld One DXP,2050,16.2K,,02/02/2025,3BHK+ST+SR,
113,Smartworld One DXP,2600,16.2K,,02/02/2025,4BHK+SR,